"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Fisher"
"35"	"GO:0033926"	"glycopeptide alpha-N-acetylgalactosamini..."	7	1	0.07	"1.000"
"36"	"GO:0003674"	"molecular_function"	2538	26	26	"1.000"
"37"	"GO:0008080"	"N-acetyltransferase activity"	31	1	0.32	"1.000"
"38"	"GO:0032555"	"purine ribonucleotide binding"	325	3	3.33	"1.000"
"39"	"GO:0000062"	"fatty-acyl-CoA binding"	4	0	0.04	"1.000"
"40"	"GO:0003682"	"chromatin binding"	7	0	0.07	"1.000"
"41"	"GO:0003725"	"double-stranded RNA binding"	3	0	0.03	"1.000"
"42"	"GO:0003887"	"DNA-directed DNA polymerase activity"	3	0	0.03	"1.000"
"43"	"GO:0003924"	"GTPase activity"	4	0	0.04	"1.000"
"44"	"GO:0003950"	"NAD+ ADP-ribosyltransferase activity"	4	0	0.04	"1.000"
"45"	"GO:0003968"	"RNA-directed 5'-3' RNA polymerase activi..."	6	0	0.06	"1.000"
"46"	"GO:0003993"	"acid phosphatase activity"	10	0	0.1	"1.000"
"47"	"GO:0004045"	"aminoacyl-tRNA hydrolase activity"	7	0	0.07	"1.000"
"48"	"GO:0004386"	"helicase activity"	7	0	0.07	"1.000"
"49"	"GO:0004425"	"indole-3-glycerol-phosphate synthase act..."	3	0	0.03	"1.000"
"50"	"GO:0004518"	"nuclease activity"	6	0	0.06	"1.000"
"51"	"GO:0004519"	"endonuclease activity"	3	0	0.03	"1.000"
"52"	"GO:0004536"	"deoxyribonuclease activity"	3	0	0.03	"1.000"
"53"	"GO:0004645"	"1,4-alpha-oligoglucan phosphorylase acti..."	3	0	0.03	"1.000"
"54"	"GO:0004842"	"ubiquitin-protein transferase activity"	9	0	0.09	"1.000"
"55"	"GO:0004857"	"enzyme inhibitor activity"	12	0	0.12	"1.000"
"56"	"GO:0004866"	"endopeptidase inhibitor activity"	10	0	0.1	"1.000"
"57"	"GO:0004867"	"serine-type endopeptidase inhibitor acti..."	3	0	0.03	"1.000"
"58"	"GO:0004869"	"cysteine-type endopeptidase inhibitor ac..."	7	0	0.07	"1.000"
"59"	"GO:0005096"	"GTPase activator activity"	10	0	0.1	"1.000"
"60"	"GO:0005215"	"transporter activity"	3	0	0.03	"1.000"
"61"	"GO:0005509"	"calcium ion binding"	28	0	0.29	"1.000"
"62"	"GO:0005516"	"calmodulin binding"	6	0	0.06	"1.000"
"63"	"GO:0005543"	"phospholipid binding"	19	0	0.19	"1.000"
"64"	"GO:0008146"	"sulfotransferase activity"	4	0	0.04	"1.000"
"65"	"GO:0008168"	"methyltransferase activity"	57	0	0.58	"1.000"
"66"	"GO:0008170"	"N-methyltransferase activity"	3	0	0.03	"1.000"
"67"	"GO:0008171"	"O-methyltransferase activity"	10	0	0.1	"1.000"
"68"	"GO:0008233"	"peptidase activity"	8	0	0.08	"1.000"
"69"	"GO:0008234"	"cysteine-type peptidase activity"	5	0	0.05	"1.000"
"70"	"GO:0008242"	"omega peptidase activity"	4	0	0.04	"1.000"
"71"	"GO:0008270"	"zinc ion binding"	107	0	1.1	"1.000"
"72"	"GO:0008276"	"protein methyltransferase activity"	3	0	0.03	"1.000"
"73"	"GO:0008289"	"lipid binding"	30	0	0.31	"1.000"
"74"	"GO:0008641"	"ubiquitin-like modifier activating enzym..."	12	0	0.12	"1.000"
"75"	"GO:0008757"	"S-adenosylmethionine-dependent methyltra..."	3	0	0.03	"1.000"
"76"	"GO:0009055"	"electron transfer activity"	31	0	0.32	"1.000"
"77"	"GO:0015399"	"primary active transmembrane transporter..."	3	0	0.03	"1.000"
"78"	"GO:0016278"	"lysine N-methyltransferase activity"	3	0	0.03	"1.000"
"79"	"GO:0016279"	"protein-lysine N-methyltransferase activ..."	3	0	0.03	"1.000"
"80"	"GO:0016301"	"kinase activity"	9	0	0.09	"1.000"
"81"	"GO:0016462"	"pyrophosphatase activity"	4	0	0.04	"1.000"
"82"	"GO:0016491"	"oxidoreductase activity"	59	0	0.6	"1.000"
"83"	"GO:0016620"	"oxidoreductase activity, acting on the a..."	8	0	0.08	"1.000"
"84"	"GO:0016741"	"transferase activity, transferring one-c..."	57	0	0.58	"1.000"
"85"	"GO:0016757"	"glycosyltransferase activity"	43	0	0.44	"1.000"
"86"	"GO:0016758"	"hexosyltransferase activity"	7	0	0.07	"1.000"
"87"	"GO:0016763"	"pentosyltransferase activity"	4	0	0.04	"1.000"
"88"	"GO:0016765"	"transferase activity, transferring alkyl..."	5	0	0.05	"1.000"
"89"	"GO:0016772"	"transferase activity, transferring phosp..."	28	0	0.29	"1.000"
"90"	"GO:0016773"	"phosphotransferase activity, alcohol gro..."	5	0	0.05	"1.000"
"91"	"GO:0016779"	"nucleotidyltransferase activity"	16	0	0.16	"1.000"
"92"	"GO:0016782"	"transferase activity, transferring sulph..."	4	0	0.04	"1.000"
"93"	"GO:0016788"	"hydrolase activity, acting on ester bond..."	105	0	1.08	"1.000"
"94"	"GO:0016791"	"phosphatase activity"	12	0	0.12	"1.000"
"95"	"GO:0016810"	"hydrolase activity, acting on carbon-nit..."	4	0	0.04	"1.000"
"96"	"GO:0016811"	"hydrolase activity, acting on carbon-nit..."	4	0	0.04	"1.000"
"97"	"GO:0016817"	"hydrolase activity, acting on acid anhyd..."	6	0	0.06	"1.000"
"98"	"GO:0016818"	"hydrolase activity, acting on acid anhyd..."	4	0	0.04	"1.000"
"99"	"GO:0016829"	"lyase activity"	8	0	0.08	"1.000"
"100"	"GO:0016830"	"carbon-carbon lyase activity"	3	0	0.03	"1.000"
"101"	"GO:0016831"	"carboxy-lyase activity"	3	0	0.03	"1.000"
"102"	"GO:0016846"	"carbon-sulfur lyase activity"	3	0	0.03	"1.000"
"103"	"GO:0016853"	"isomerase activity"	7	0	0.07	"1.000"
"104"	"GO:0016872"	"intramolecular lyase activity"	5	0	0.05	"1.000"
"105"	"GO:0016874"	"ligase activity"	25	0	0.26	"1.000"
"106"	"GO:0016877"	"ligase activity, forming carbon-sulfur b..."	12	0	0.12	"1.000"
"107"	"GO:0016879"	"ligase activity, forming carbon-nitrogen..."	13	0	0.13	"1.000"
"108"	"GO:0016884"	"carbon-nitrogen ligase activity, with gl..."	13	0	0.13	"1.000"
"109"	"GO:0016903"	"oxidoreductase activity, acting on the a..."	8	0	0.08	"1.000"
"110"	"GO:0017111"	"nucleoside-triphosphatase activity"	4	0	0.04	"1.000"
"111"	"GO:0018024"	"histone-lysine N-methyltransferase activ..."	3	0	0.03	"1.000"
"112"	"GO:0019787"	"ubiquitin-like protein transferase activ..."	9	0	0.09	"1.000"
"113"	"GO:0019842"	"vitamin binding"	5	0	0.05	"1.000"
"114"	"GO:0019904"	"protein domain specific binding"	6	0	0.06	"1.000"
"115"	"GO:0022804"	"active transmembrane transporter activit..."	3	0	0.03	"1.000"
"116"	"GO:0022857"	"transmembrane transporter activity"	3	0	0.03	"1.000"
"117"	"GO:0030170"	"pyridoxal phosphate binding"	5	0	0.05	"1.000"
"118"	"GO:0030234"	"enzyme regulator activity"	33	0	0.34	"1.000"
"119"	"GO:0030414"	"peptidase inhibitor activity"	10	0	0.1	"1.000"
"120"	"GO:0030695"	"GTPase regulator activity"	10	0	0.1	"1.000"
"121"	"GO:0033218"	"amide binding"	4	0	0.04	"1.000"
"122"	"GO:0034061"	"DNA polymerase activity"	4	0	0.04	"1.000"
"123"	"GO:0034062"	"5'-3' RNA polymerase activity"	6	0	0.06	"1.000"
"124"	"GO:0035091"	"phosphatidylinositol binding"	8	0	0.08	"1.000"
"125"	"GO:0042054"	"histone methyltransferase activity"	3	0	0.03	"1.000"
"126"	"GO:0042578"	"phosphoric ester hydrolase activity"	18	0	0.18	"1.000"
"127"	"GO:0043169"	"cation binding"	198	0	2.03	"1.000"
"128"	"GO:0043531"	"ADP binding"	139	0	1.42	"1.000"
"129"	"GO:0046872"	"metal ion binding"	198	0	2.03	"1.000"
"130"	"GO:0046914"	"transition metal ion binding"	109	0	1.12	"1.000"
"131"	"GO:0046983"	"protein dimerization activity"	84	0	0.86	"1.000"
"132"	"GO:0050660"	"flavin adenine dinucleotide binding"	11	0	0.11	"1.000"
"133"	"GO:0051287"	"NAD binding"	4	0	0.04	"1.000"
"134"	"GO:0052689"	"carboxylic ester hydrolase activity"	9	0	0.09	"1.000"
"135"	"GO:0060589"	"nucleoside-triphosphatase regulator acti..."	10	0	0.1	"1.000"
"136"	"GO:0061134"	"peptidase regulator activity"	10	0	0.1	"1.000"
"137"	"GO:0061135"	"endopeptidase regulator activity"	10	0	0.1	"1.000"
"138"	"GO:0070279"	"vitamin B6 binding"	5	0	0.05	"1.000"
"139"	"GO:0071949"	"FAD binding"	11	0	0.11	"1.000"
"140"	"GO:0080019"	"fatty-acyl-CoA reductase (alcohol-formin..."	8	0	0.08	"1.000"
"141"	"GO:0080048"	"GDP-D-glucose phosphorylase activity"	3	0	0.03	"1.000"
"142"	"GO:0097747"	"RNA polymerase activity"	6	0	0.06	"1.000"
"143"	"GO:0098772"	"molecular function regulator"	33	0	0.34	"1.000"
"144"	"GO:0120227"	"acyl-CoA binding"	4	0	0.04	"1.000"
"145"	"GO:0140097"	"catalytic activity, acting on DNA"	7	0	0.07	"1.000"
"146"	"GO:0140098"	"catalytic activity, acting on RNA"	15	0	0.15	"1.000"
"147"	"GO:0140101"	"catalytic activity, acting on a tRNA"	9	0	0.09	"1.000"
"148"	"GO:0140640"	"catalytic activity, acting on a nucleic ..."	29	0	0.3	"1.000"
"149"	"GO:0140657"	"ATP-dependent activity"	8	0	0.08	"1.000"
"150"	"GO:0140678"	"molecular function inhibitor activity"	12	0	0.12	"1.000"
"151"	"GO:1901567"	"fatty acid derivative binding"	4	0	0.04	"1.000"
"152"	"GO:1901681"	"sulfur compound binding"	4	0	0.04	"1.000"
